"",10001
"El Pinar de Santa Bárbara",11906
"El Danubio",11907
"Los Cedros",11908
"La Uribe",11909
"Carolina III",11910
"La Armonía",11911
"Calarca I y II",11912
"Urb. Capellanía",11913
"Ciudad Kennedy Supermanzana 1",11914
"Tierra Buena I",11915
"El Caracol",11916
"Los Pantanos",11917
"Nueva Silvania Sur",11918
"Versalles Fontibón",11919
"Urb. Parque Las Flores",11920
"Moraga",11921
"Patio Bonito III Sector",11922
"Tintalito",11923
"Villa Alexandra",11924
"El Saucedal",11925
"Bavaria Techo",11926
"Castilla Real",11927
"Portal de Patio Bonito",11928
"Alquería La Fragua",11929
"La Chucua",11930
"La Giraldilla",11931
"Villa Mejia - El Tintal",11932
"Villa de la Torre",11933
"Urb. Pinos de Britalia",11934
"Barranquillita",11935
"Villa_Beatriz",11936
"El Paraíso Nuevo Kennedy",11937
"San Andrés II Sector",11938
"El Progreso_",11939
"S.C. Escocia",11940
"Urb. Industrial las Delicias",11941
"Boita II Sector",11942
"Renania",11943
"Americas Occidental II",11944
"Urbanización Villas de Castilla",11945
"Quintas de Timiza",11946
"Tierra Buena Reservado I",11947
"Tierra Buena I Conjunto Residencial",11948
"Urb. Pinar de los Álamos",11949
"S.C. San Bernardino XIX",11950
"El Porvenir Sector Inducas",11951
"La Independencia",11952
"La Maria_",11953
"S.C. Jiménez de Quesada",11954
"Urb. Gecolsa",11955
"Nuevo Chile",11956
"Brasil Sector El Portal",11957
"La Cruz de Terreros",11958
"S.C. Paso Ancho",11959
"Antonia Santos",11960
"La Capilla",11961
"Ciudadela Roberto Pachon",11962
"S.C. Grancolombiano",11963
"San Eugenio",11964
"Niza Suba - Urb. San Gregorio II y III",11965
"S.C. Niza Norte",11966
"Niza Suba - Torres del Monte",11967
"Urb. Alhambra Sur Oriental",11968
"El Divino Salvador",11969
"Urb. Las Navetas de Suba",11970
"Cantagallo - Carmel Club Campestre",11971
"S.C. Los Naranjos",11972
"Ciudad Jardín Norte - San Andrés",11973
"Urb. Boca Colina",11974
"Oikos La Colina",11975
"San Cristóbal",11976
"Julio Florez",11977
"S.C. Andes Norte",11978
"Andes Norte - Urb. Av. Suba II Etapa",11979
"S.C. Potosí",11980
"Casablanca Suba - Urb. Valparaíso",11981
"San Juan Suba",11982
"El Rincón - Urb. Amberes",11983
"La Palma II",11984
"Urb. Villa Lilia y El Rosal",11985
"Tuna Baja",11986
"Bernal y Forero",11987
"Turingia II",11988
"Senderos de Suba",11989
"El Pinar de Suba II",11990
"La Esperanza II",11991
"La Playa",11992
"El Rodadero y El Pedregalito",11993
"Berlín IV Sector",11994
"Aures I",11995
"Mirandela",11996
"La Faena - La Guayana (Predio)",11997
"Los Cambulos",11998
"Capellanía",11999
"Egipto Alto (Julio Cesar Turbay)",12000
"Isla del Sol",12001
"S.C. Arrayanes III, IV, y V",12002
"Mudela del Río",12003
"Santa Maria del Lago",12004
"S.C. Autopista Medellín",12005
"Escuela General Santander",12006
"Voto Nacional",12007
"Santa Isabel Occidental",12008
"El Rubí",12009
"San Vicente (Predio)",12010
"Urb. El Paseito II Sector",12011
"Nueva Delly Parte Alta",12012
"Bellavista - El Salitre",12013
"El Diamante Bosque de San Cristóbal",12014
"S.C. Quinta Ramos",12015
"Caobos Salazar Urb. Capri I y II Sector",12016
"Las Margaritas II Sector",12017
"Los Cedros Oriental",12018
"La Tortigua",12019
"Balcones de San Pedro III",12020
"Jordán II Sector",12021
"Urb. Santiago",12022
"Torcoroma",12023
"Ciudad_Salitre",12024
"Urb. Continental",12025
"Refugio del Norte",12026
"Inmunizadora de Maderas",12027
"San Francisco Norte",12028
"Telecom Arrayanes",12029
"Casablanca Sector Bellavista",12030
"Unifamiliares Avenida Décima",12031
"El Pesebre (Predio)",12032
"Rincón_Santo",12033
"Las Colinas",12034
"Villa Esperanza",12035
"11 de Noviembre",12036
"San Luís Altos del Cabo",12037
"Bosque Calderón Tejada",12038
"El Alto",12039
"Cerro Verde - Santo Domingo Alto",12040
"Santa Inés",12041
"Juan_XXIII",12042
"Normandia Occidental",12043
"Camavieja",12044
"Entrerios",12045
"Escuela Militar",12046
"Urb. El Santuario",12047
"Santa Inés (El Topo)",12048
"Urb. El Rincón de San Nicolás",12049
"San Cristóbal Sur Viejo",12050
"San Benito",12051
"La Carolina",12052
"Nuevo Pensilvania Sur",12053
"Desarrollo Moravia",12054
"Tierra Firme",12055
"Alcalá",12056
"Puerto Rico",12057
"S.C Molinos del Sur",12058
"La Cita",12059
"Urb. Oviedo",12060
"Molino del Viento",12061
"Bolivia - Urb. San Vicente (Lote)",12062
"Marandu",12063
"Salitre III Sector",12064
"El Manantial",12065
"El Encanto - Portales de Confenalco",12066
"Santa Cecilia_",12067
"Las Margaritas",12068
"S.C. Portales del Norte",12069
"Colina Campestre IV Sector",12070
"Horizontes (Predio)_",12071
"Urb. San Antonio",12072
"Colina Campestre III Sector",12073
"Santa Mónica - Urb. El Pedregal",12074
"Urb. Golconda",12075
"Los Andes - Vizcaya III Sector",12076
"Zona Franca",12077
"Minuto de Dios - La Tropical Copetroco",12078
"Villa del Rosario",12079
"Torres de Buenos Aires",12080
"El Portal II Sector",12081
"Villa Zarzamora",12082
"Villa del Cerro",12083
"Urb. Montellano",12084
"Siberia - El Nacedero",12085
"Mirador del Norte",12086
"Arauquita",12087
"Britalia San Rafael",12088
"Sultana",12089
"Castañuela II",12090
"Cañiza I, II y III",12091
"La Campiña",12092
"Restrepo Occidental",12093
"S.C. Sena",12094
"Quinta Bariloche",12095
"S.C. Pueblo Viejo",12096
"Los Ángeles - Urb. El Galeón",12097
"Rincón El Cóndor",12098
"Villas del_Velero",12099
"El Rubí de San Bernardo",12100
"Alameda del Río",12101
"San Antonio de Escocia",12102
"Villa Sonia II",12103
"Amaruc",12104
"S.C. Jorge Uribe Botero",12105
"San Jorge",12106
"San Jorge II",12107
"Tierra Gratis",12108
"La Concepción II Sector",12109
"San Javier",12110
"Urb. San José 2",12111
"S.C. Villas del Progreso",12112
"Villa Nora II",12113
"Nueva Escocia",12114
"Escocia VII",12115
"Los Héroes de Bosa",12116
"El Porvenir Parcela 17 A- 17 B",12117
"Nueva_Esperanza",12118
"Nueva_Escocia",12119
"San Andrés Afidro",12120
"Urb. Zabana",12121
"Altamira",12122
"Bosques de San Jorge Suba",12123
"El Nogal",12124
"Tuna Alta Sector El Rosal",12125
"El Salitre",12126
"Urb. El Salitre",12127
"Pasadena - Conjunto El Rincón de la 100",12128
"Urb. Los Nogales de Tibabuyes II",12129
"Atenas - Asturias",12130
"S.C. Tibabita 2",12131
"Bosque de Soratama",12132
"Bilbao II Sector",12133
"Portales del Norte - La Candelaria",12134
"La Providencia Media",12135
"Santa Ana Occidental",12136
"Cedro Bolívar",12137
"Parques de Lorena",12138
"Villas de Aranjuez",12139
"Molinos Norte",12140
"S.C. El Verbenal",12141
"Buenavista La Estrellita II",12142
"Nuevo Country",12143
"Rincón de Suba Sector Lagos de la Frontera",12144
"El Listón",12145
"San Victorino",12146
"El_Cortijo",12147
"Ciudad Salitre Occidental",12148
"La Esperanza Norte",12149
"S.C. Bolivia",12150
"Puerto Amor Playas del Jaboque",12151
"La Merced",12152
"S.C. Modelo Sur",12153
"Vereda Monserrate",12154
"El Sosiego",12155
"S.C. Chiguaza",12156
"Santo Domingo_",12157
"S.C. Emaus",12158
"Las Palmas",12159
"La Victoria III Sector",12160
"La Victoria II Sector",12161
"Nueva_Granada",12162
"Urb. Florencia",12163
"Campin Occidental",12164
"Mariscal Sucre",12165
"Tejar de Ontario",12166
"S.C. Claret",12167
"Parque Nacional",12168
"Quiroga IX Etapa",12169
"La Asunción",12170
"Portal de Alcalá - La Perla",12171
"El Cedro Engativa Centro",12172
"Ciudad Universitaria",12173
"Los Laureles Sabanas del Dorado",12174
"Xochimilco",12175
"Argelia II_",12176
"S.C. Bosa",12177
"La Portada II",12178
"La Fontana I y II",12179
"La_Arboleda",12180
"Santa Fe III Sector",12181
"Niza Suba - Urb. Balcón del Lindaraja",12182
"La Veguita II",12183
"San Pablo I Sector",12184
"Chicala_",12185
"San Pedro Sector C",12186
"La Esperanza de Tibanica",12187
"La Palestina I",12188
"Rincón de San José",12189
"S.C. San Bernardino II",12190
"S.C. San Bernardino XVI",12191
"Torremolinos_",12192
"Cinco Esquinas",12193
"Britalia - El Tibon Albacete",12194
"El Alcázar",12195
"S.C Santa Rosa",12196
"Urb. Antonio Granados",12197
"Las Palmeras",12198
"Proyser (Finca)",12199
"Subata (Conejera)",12200
"La Aurora",12201
"Prado Veraniego Norte - Urb. El Condado de Iberia",12202
"Tuna Baja III Sector",12203
"Prado Veraniego Norte - Urb. Vivaral",12204
"San José del Prado - Fuerteventura",12205
"Arboleda del Country",12206
"Calima Norte",12207
"Lisboa",12208
"Los Monarcas",12209
"La_Playa",12210
"La Alameda_",12211
"La Araucaria",12212
"S.C. El Poa",12213
"Villa Amalia",12214
"Urb. Caracoli",12215
"Puente Colorado",12216
"Conjunto Residencial Yerbamora 1",12217
"Los Rosales",12218
"Villa Andrés",12219
"Florida Blanca",12220
"El Consuelo",12221
"S C.Arboleda Sur",12222
"Villa de la Loma II",12223
"Industrias Thury Ltda.",12224
"Finca La Esperanza",12225
"Los Comuneros Puerta del Sol",12226
"Rincón de Cantalejo",12227
"Guiparma",12228
"Villa Catalina II y III",12229
"Urb. El Tanque",12230
"San Pedro II Sector A",12231
"Villa Julia",12232
"El Rubí La Flora",12233
"Zarzamora",12234
"Diana Turbay Cultivos",12235
"El Oasis del Sur",12236
"Los Caobos",12237
"Tintalito II",12238
"Las Acacias_",12239
"La Rivera II Sector",12240
"Alamedas De Timiza I",12241
"Nueva Roma Ultima Etapa - Bertha Hernández Ospina",12242
"Dindalito",12243
"El Carmelo",12244
"Santa Helena Niza Suba",12245
"Tayrona",12246
"Juan Pablo I",12247
"Villa Mendoza",12248
"Monterrey_",12249
"San Juan de Castilla",12250
"El Amparo",12251
"San Andrés",12252
"El Portal de las Americas",12253
"Lusitania",12254
"Las Palmitas",12255
"Ciudad Granada",12256
"La Alejandra",12257
"El Jordán I y III",12258
"Sagrado Corazón_",12259
"Marsella Aloha Sector Sur",12260
"Bosques de Kennedy",12261
"La Paz Bosa - Sinai",12262
"S.C. Tintala",12263
"Multifamiliares Carimagua",12264
"La Igualdad II Sector",12265
"Nuevo Kennedy",12266
"Villa Emilia",12267
"Hipotecho Occidental",12268
"Hipotecho Occidental III",12269
"Fabrica de Loza",12270
"Bella Vista",12271
"La Península El Paraíso",12272
"Guadual",12273
"El Campin",12274
"Rincón de Nuevo Muzu",12275
"Venecia Occidental",12276
"Los Dos Leones",12277
"S.C. San Jorge Sur",12278
"Urb. Serafina",12279
"San Miguel Granada Sur",12280
"Los Libertadores Sector San Miguel",12281
"San Félix",12282
"Prados del_Salitre",12283
"Urb. San Antonio Norte",12284
"Miami",12285
"El Ocal II Sector",12286
"El Porvenir San Luís",12287
"San Diego La Paz IV Sector",12288
"S.C Escocia Rural",12289
"El Diamante",12290
"Naranjos El Retazo",12291
"Piamonte II Sector",12292
"San Cristóbal Norte",12293
"La Esperanza",12294
"Parque Popular El Salitre",12295
"J.J. Vargas - José Joaquín Vargas",12296
"Brasilia La Estación",12297
"El Recuerdo San Bernardino",12298
"La Amistad Bosa",12299
"Brasilia I Sector",12300
"El Jazmín Sector El Triángulo",12301
"Holanda II Sector",12302
"Nicolás Escobar",12303
"S.C. Antonia Santos",12304
"Quinta Ramos",12305
"Ciudad Marbella Sector I",12306
"Atahualpa El Cajón",12307
"El Charco",12308
"Los Almendros II",12309
"La Estrella II",12310
"S.C. Las Navetas",12311
"Bachue I y II",12312
"Santa Rosa - Urb. Tropicream",12313
"Urb. Potosí II Sector",12314
"Alameda de Suba",12315
"La Estrella I",12316
"San José Sur Oriental",12317
"La Liberia",12318
"Delicias del Carmen",12319
"La Gloria Baja",12320
"Santa Bárbara Central III Sector",12321
"Santa Bibiana",12322
"San Patricio",12323
"Inzuca",12324
"Torcoroma_",12325
"San José de Usaquén - Urb. Argo",12326
"Horizontes",12327
"Ibiza",12328
"Tierra Buena Reservado II",12329
"Urb. San Luís",12330
"Villa Angélica (Canadá La Guira)",12331
"Los Libertadores Sector San Isidro",12332
"Urb. Nueva Alsacia",12333
"Palermo Sur",12334
"La Paz",12335
"S.C. Santa Helenita",12336
"Los Ángeles",12337
"Samore",12338
"Los Ejidos",12339
"San José de Usaquén - Urb. Los Bosques",12340
"Los Consuelos",12341
"San Rafael Industrial",12342
"Urb. Horacio Orjuela",12343
"Los Libertadores Sector San José",12344
"Los Libertadores Sector El Tesoro",12345
"Playón La Playita III",12346
"Pradera Sur",12347
"Hipólito Restrepo",12348
"Agua Dulce",12349
"Santa Bárbara City Hall",12350
"S.C. El Remanso",12351
"El_Progreso",12352
"Granjas de Techo",12353
"Interindustrial - El Vergel",12354
"S.C. San Javier",12355
"El_Jordán",12356
"Charles De Gaulle",12357
"Jiménez De Quesada II Sector",12358
"Senderos de Britalia",12359
"San Martín de Porres",12360
"Modelia",12361
"La Floresta",12362
"Campos de Silencio",12363
"Iberia - Rincón de Granada",12364
"Iberia El Poblar",12365
"Los Pinares",12366
"Uribia",12367
"Cerros de Niza Urb. Solitude",12368
"La Sagrada Familia",12369
"Lago de Suba",12370
"Ospina Pérez Sur",12371
"Autopista Sur",12372
"Ortezal",12373
"La Conejera Tibu",12374
"Prado Pinzon - Santa Carolina",12375
"S.C. San Blass II",12376
"Buenos Aires La Esperanza Parcela La Fiscala",12377
"Villas de Alcalá - Altamira (Hacienda)",12378
"S.C. Carolina de Suba",12379
"La Palma El Recreo",12380
"Garcés Navas Oriental - Urb. El Pireo",12381
"La Perla",12382
"Aures II Sector La Planta",12383
"Urb. Iberia I Etapa",12384
"Palma Aldea - Urb. El Merey",12385
"Aures II",12386
"Versalles y Los Cerezos",12387
"Caminos de Esperanza",12388
"La Colina Campestre II Sector",12389
"Plazuelas de San Martin",12390
"Urb. Plaza Baviera",12391
"Villa del Campo",12392
"S.C. Almirante Colon",12393
"Bosques de San Jorge",12394
"Amparo Cañizares",12395
"Multifamiliares La Paz",12396
"Santa Lucia Sur",12397
"Santa Bárbara",12398
"Agrup. de Vivienda Viempro II",12399
"Portal Real de Suba",12400
"Barrancas Oriental - Servita",12401
"S.C. El Cedro",12402
"S.C. Páramo_",12403
"Bosques de Torca",12404
"S.C. Mónaco",12405
"Tuna Alta El Mirador",12406
"San José De Bavaria",12407
"Hato Chico II (Predio)",12408
"Rincón de Santa Inés Compartir Suba",12409
"Altos de Chozica La Victoria",12410
"Estoril - Conjunto Residencial Teruel",12411
"S C. Julio Florez",12412
"Villa Mayor Antigua",12413
"Eduardo Frei",12414
"Santa Isabel del Restrepo",12415
"Nuestra Señora de la Paz V Sector",12416
"La Esmeralda Nuestra Señora de la Paz",12417
"S.C. La Cabaña",12418
"La Campiña II Sector",12419
"Santander Norte",12420
"Luna Park",12421
"La Cabaña - El Rubí",12422
"Santandersito",12423
"La Sabana",12424
"Chico Reservado",12425
"S.C. Lago Gaitan",12426
"El Retiro - Villa Andina",12427
"S.C. Porciúncula",12428
"S.C. El Dorado Industrial",12429
"La Esperanza_",12430
"Buenos_Aires",12431
"Villas del Dorado San Antonio",12432
"La Paz",12433
"Bellavista",12434
"El_Paraíso",12435
"S.C. Antiguo Country",12436
"Urb. Valles de Ibiza",12437
"Urb. La Pradera de Suba",12438
"La Joyita Bello Horizonte",12439
"Bosque Calderón Tejada 2",12440
"Bosques del Portal",12441
"Engativa - Urb. Muisca II",12442
"San José Obrero",12443
"Los_Pinos",12444
"Quesada",12445
"Alfonso López",12446
"La Magdalena",12447
"Ingemar - Arboretum",12448
"Siberia - El Capricho (Predio)",12449
"S.C. Bosque Calderón",12450
"Tunal Sector I",12451
"Villa Mayor",12452
"Urb. Santa Lucia",12453
"Siracusa I y II",12454
"San Gabriel",12455
"Camelia II Sector",12456
"Galán - Urb. Los Bungaviles",12457
"Galán",12458
"S.C. Granada Sur",12459
"Bosques de Bellavista",12460
"S.C. Páramo I",12461
"Valparaíso II Etapa",12462
"El Torreón",12463
"Predio Cundinamarca",12464
"La Provincia",12465
"Prados de la Calleja",12466
"La Estación Distrital de Finca Raíz",12467
"Poteritos",12468
"S.C. El Jardín",12469
"El Portal de Bosa",12470
"Humberto Valencia II Sector",12471
"Grancolombiano II Laureles",12472
"S.C. San Bernardino XIX",12473
"Laureles La Estación",12474
"Acuarela I",12475
"Villa Esmeralda",12476
"Los Ocales",12477
"Miraflores II Sector",12478
"El_Rubí",12479
"Santa Helena - Surala",12480
"Urb. Júpiter",12481
"Providencia",12482
"Alameda de Santa Monica Etapa 5",12483
"Nuevo Recreo",12484
"Niza Norte - Urb. Tumanaco",12485
"Urb. Bochalema",12486
"Villa Cindy",12487
"La Guaca Sector La Conejera",12488
"Torremolinos I",12489
"Urb. Colina Norte II Etapa",12490
"Bellomonte Suba",12491
"Urb. Caminos de Atlanta",12492
"Vista Bella II Sector",12493
"Santa_Mónica",12494
"Urb. Floresta III (Sauces II)",12495
"Cerros del Himalaya",12496
"La Esperanza (Calle 131 A)",12497
"Tibabuyes I Sector",12498
"Portal de la Sultana",12499
"El Salitre IV Sector",12500
"El Mirador de Suba Salitre Norte",12501
"Canódromo - Urb. Atabanza",12502
"Prado Veraniego Sur - Córdoba Niza IX",12503
"Miraval",12504
"Niza Suba - Urb. Lourdes",12505
"Urb. Bosque de la Colina",12506
"Prado Sur II Etapa",12507
"San José del Prado - Agrupación de Vivienda Calua",12508
"Páramo - Escuela de Caballería",12509
"Urb. El Campito",12510
"S.C. Horizontes Norte",12511
"El Recuerdo La Conejera",12512
"Pensilvania",12513
"Torres del Rubí",12514
"La Nueva Gloria",12515
"El Nogal I",12516
"Casablanca Suba  - Valparaíso",12517
"El Embudo Sector El Plan",12518
"Urb. Iberia Triángulo",12519
"S.C. San Carlos de Suba",12520
"S.C Salitre Suba",12521
"S.C. Gilmar - La Sirena (Predio)",12522
"Burgos Britalia",12523
"Alsacia",12524
"El Rosario III",12525
"Las Aguas_",12526
"Villa Albania",12527
"La Capuchina",12528
"Urb. La Lorena",12529
"Barcelona Sur Oriental",12530
"La Gloria",12531
"Gran América - Multifamiliares Futura",12532
"S.C Belén Fontibón",12533
"S.C. Aeropuerto El Dorado",12534
"S.C. Suba Urbano",12535
"Urb. Altos de Zarzamora",12536
"S.C Altos de Chozica",12537
"S.C Buenos Aires",12538
"S C. El Dorado",12539
"S.C. Aguas Claras",12540
"El Verdun",12541
"Puerta del Sol",12542
"Quirigua (Agrupación 1)",12543
"Las Mercedes_",12544
"El_Triángulo_",12545
"Casa Grande 2",12546
"Villa Gladys Sector San Luís",12547
"Villa Oliva - Villa del Carmen",12548
"Quintas del Recreo Etapa 6",12549
"Prados de Santa Bárbara",12550
"S.C. La Victoria",12551
"Jaime Bermeo",12552
"Manuela Beltrán",12553
"Las_Flores",12554
"Atahualpa",12555
"Los Álamos",12556
"S.C. El Charco (Rural)",12557
"San Pablo Jericó",12558
"Bochica IV Etapa",12559
"Los Arrayanes Santa Inés",12560
"El Ramajal",12561
"Buenavista II Sector",12562
"Amapolas",12563
"Palermo Sur El Triángulo",12564
"La Marqueza",12565
"Siete de Agosto",12566
"Los Álamos - El Carmelo",12567
"La Pepita",12568
"La Estanzuela_",12569
"Urb. Los Bohíos de Funza",12570
"Santa Matilde",12571
"La Belleza",12572
"El Recuerdo San Jorge Alto",12573
"Cedro Narváez",12574
"Resurrección 2",12575
"El Cerro Occidental",12576
"Caja de Vivienda Popular",12577
"La Tortigua (Mz I,J)",12578
"Rincón de Santa Paula",12579
"Urb. Betania",12580
"Urb. La Palestina",12581
"Palestina",12582
"Ciudad Salitre 3 A. Etapa",12583
"Urb. Industrial Montevideo",12584
"S.C Interindustrial",12585
"Urb. Parque Metropolitano Etapa II y III",12586
"Urb. Calima",12587
"Samper Mendoza",12588
"Montecarlo_",12589
"Las Nieves",12590
"Urb. El Recio",12591
"Unidad Residencial Gonzalo Jiménez De Quesada",12592
"Los Andes - Urb. Malta",12593
"La Castellana - José Maria Carbonel",12594
"San Blass",12595
"El Santuario",12596
"Montecarlo",12597
"San Cristóbal Alto",12598
"El Arrayán 2",12599
"San Joaquín Norte",12600
"Quirigua Plan Sidauto",12601
"San Carlos",12602
"Abraham Lincoln",12603
"S.C Meissen",12604
"Los_Ángeles",12605
"Camilo Torres",12606
"Iberia Segovia",12607
"Los Molinos I Sector",12608
"Marruecos",12609
"El Sol",12610
"Los Naranjos",12611
"Toberín Oriental",12612
"Balcones de Oriente",12613
"Villa Magdala",12614
"Camelia Sur IV Sector",12615
"S.C. El Pantano Rural",12616
"El Refugio de la Colina I",12617
"S.C. Quiroga",12618
"Rodamonte",12619
"Urb. Fucha",12620
"Alameda de Villaluz",12621
"El Encanto - Urb. Aerolandia",12622
"S.C Vereda Suba Cerros",12623
"Urb. Puerto Sol",12624
"Suba Linda",12625
"Urb. Potrerillos de Suba",12626
"El Carmen",12627
"Tuna Alta",12628
"S.C Suba Urbano",12629
"Sierras del Moral",12630
"Los Pinos",12631
"Los Álamos - Centro Empresarial",12632
"Lagos de Castilla",12633
"Luís Alberto Vega Bosque Calderón II",12634
"S.C. Parque Nacional Oriental",12635
"Casa Loma",12636
"Barrancas Oriental - La Roca (Predio)",12637
"Los Laureles Sur Oriental I Sector",12638
"Kennedy Supermanzana 6 B",12639
"Urb. Barlovento",12640
"Carintia",12641
"Urb. Lombardia III Etapa - Sector A",12642
"Desarrollo Villa Blanca",12643
"San Antonio - Urb. Av. Luna Park",12644
"Santa Isabel V Sector",12645
"Centro Nariño",12646
"Timiza -  Urb. Cañaveral",12647
"Urb. La Coruña del Sur",12648
"Guillermo Núñez",12649
"San Fernando Nuestra Señora de la Paz",12650
"Urb. El Alcázar de Suba",12651
"Urb. Carrera 10a",12652
"S.C. Las_Margaritas",12653
"El Regalo",12654
"El Recuerdo II",12655
"El Recuerdo_",12656
"Santa Rosalía 2 (Finca)",12657
"El Libertador II",12658
"Chico Sur_",12659
"El_Llanito",12660
"Niza Norte - Sotileza",12661
"Urb. José Maria Carbonell",12662
"El Recuerdo",12663
"S.C. Andalucía II",12664
"La Estación Areneras",12665
"La Concepción",12666
"La Libertad III Sector",12667
"S.C. San Antonio",12668
"Hortelanos de Escocia",12669
"Villa Alegría",12670
"Villa de los Comuneros",12671
"S.C Bosa",12672
"Andes Norte - Quintanilla de la Flora",12673
"Brasil Sector El Lago",12674
"Brasil sector Barreto",12675
"Villa Nubia",12676
"Urb. La Chucua",12677
"Niza Suba - Urb. Palo Alto",12678
"Rincón de Santa Inés",12679
"Prados del Salitre",12680
"Calabria",12681
"Urb. Cerros 170",12682
"Urb. San José",12683
"Los Portales del Norte III",12684
"El Estoril",12685
"Britalia - Llano de San José II",12686
"Quintas Reservadas",12687
"Urb. El Paseo de la Colina",12688
"Caobos Salazar",12689
"Urb._El Bosque",12690
"Jardín Norte",12691
"La Granja Oriental",12692
"Barrancas Alto",12693
"Urb. Parque Afir",12694
"El Gaco - El Porvenir (Predio)",12695
"La Riviera II",12696
"Canadá la Guira II Sector",12697
"Turingia III",12698
"Tuna Baja II Sector",12699
"San Cayetano__",12700
"Villa Aurora",12701
"S.C. La Estradita",12702
"Las Ferias Occidental",12703
"Fátima",12704
"Portal de Granada",12705
"S.C. Chapinero Norte",12706
"Siberia - Castillo Calderón Tejada",12707
"Pardo Rubio - Rakel (Predio)",12708
"Bellavista - Urb. El Castillo",12709
"Emaus",12710
"Urb. El Palmar",12711
"Bosque Izquierdo",12712
"S.C Ingemar",12713
"S.C. Siberia Central",12714
"Urb. Unidas Samoa",12715
"Florencia",12716
"S.C. Tabora",12717
"Prados de la Alameda",12718
"La Soledad",12719
"Ortezal - Quinta Paredes",12720
"Parque Residencial Nueva Suba",12721
"Las Americas",12722
"Villa Ximena",12723
"Tuna Baja Las Flores",12724
"S.C. Murillo Toro",12725
"S.C. Villa Mayor Oriental",12726
"Santa Isabel",12727
"Las Violetas La Asunción",12728
"La Serena",12729
"Paris Francia",12730
"Congreso Eucarístico",12731
"La Faena - Jaboque (Finca)",12732
"El Muelle II",12733
"Cama Vieja 2",12734
"Sabana del Dorado - Villa Nohemi",12735
"Villabel",12736
"La Nueva Gloria II Sector",12737
"S.C. El Pinar",12738
"El Pinar Republica de Canadá II Sector",12739
"Cerros Norte",12740
"S.C. Seminario",12741
"S.C. Las Acacias",12742
"El Minuto de Dios - Los Lagos",12743
"Santa Cecilia",12744
"Conjunto Residencial Kumaru",12745
"Niza Suba - San Silvestre",12746
"La Estrella III",12747
"Cedro Salazar",12748
"La Calleja",12749
"Rincón del Chico",12750
"Soratama",12751
"Andalucía",12752
"Villa Nueva",12753
"Pastrana",12754
"Ciudad Kennedy Oriental Supermanzana 6",12755
"Urbanizacion  El Porvenir Predio Tintalito Mazuera Uno",12756
"S.C. Belén Fontibón",12757
"Urb. Tibabita 188",12758
"Zulima",12759
"Finca Moraga (Barracas)",12760
"Cooperativa de Sub-Oficiales",12761
"Ayacucho I",12762
"Vasconia II",12763
"La Unidad",12764
"Santa Catalina Sector I",12765
"Hato Nuevo",12766
"Roma - Bertha Hernández De Ospina I y III",12767
"Rincón de Castilla",12768
"Llano Grande",12769
"La Concordia",12770
"Maria Paz",12771
"Horizontes (Predio)",12772
"Ciudad Kennedy Supermanza 12",12773
"Santa Catalina",12774
"El Rubí de Kennedy",12775
"S.C. La Magdalena - El Tiber",12776
"Villa_Nelly",12777
"Tintala",12778
"Calandaima - Los Pantanos",12779
"Bellavista_",12780
"Villa Hermosa_",12781
"Palmitas - Villa Alicia",12782
"Ciudad Kennedy Norte Supermanzana 9B",12783
"El Descanso Nuevo Kennedy",12784
"Las Dos Avenidas I Etapa",12785
"Valencia La Chucua",12786
"Milenta_",12787
"Catalina II",12788
"Ciudad Kennedy Supermanzana 3",12789
"Americas Occidental IV Etapa",12790
"Americas Occidental",12791
"Los Condominios Tierra Buena III",12792
"S.C. Nueva Tibabuyes",12793
"Bosque de Gratamira I y II",12794
"S.C. San Bernardino XVI",12795
"La_Esmeralda",12796
"El Bosque de Bosa",12797
"S.C Bosa Brasil",12798
"Argelia_",12799
"Islandia II",12800
"S.C. Jacqueline",12801
"Olarte",12802
"La Granjita",12803
"El Anhelo",12804
"Santa Fe Bosa",12805
"Cartagenita",12806
"Getsemani",12807
"La Vega",12808
"El Paradero",12809
"S.C. San Bernardino XVIII",12810
"Tibabita - Los Pinos (Predio)",12811
"La Paz II Sector",12812
"San Pedro",12813
"La Alhambra Sector Norte",12814
"San Antonio de Escocia II",12815
"Prado Veraniego Norte - La Hacienda",12816
"Grancolombiano I",12817
"Humberto Valencia",12818
"Urb. La Sultana del Sur",12819
"San José D",12820
"Villanova II",12821
"Malibu",12822
"Casablanca Sector La Gruta",12823
"Niza Suba - El Pinar",12824
"Casablanca (Hacienda)",12825
"Turingia (Parcelación)",12826
"El Porvenir Norte - Granada Norte",12827
"Urb. Monterrey",12828
"Urb. Choasuca",12829
"Don Manuel - Los Arrayanes",12830
"Canaima",12831
"Batan Lote Niza XII",12832
"Cerros de Niza",12833
"Prado Pinzon Urb. Tehorlu",12834
"Casablanca Suba Cantabria",12835
"Urb. Somondoco",12836
"Villa Monika",12837
"El Batan",12838
"El Cortijo (Finca)",12839
"Urb. Guasayalta",12840
"Nueva Britalia",12841
"Urb. Némesis",12842
"Iberia - Villa Leticia",12843
"La Estanzuela",12844
"Villa Maria",12845
"El Poa",12846
"Tuna Baja III y III A",12847
"S.C. Tuna Baja",12848
"Niza Suba - Cerros de Sotileza",12849
"Rincón de las Villas",12850
"Prados de la Sultana",12851
"Torquigua",12852
"S.C. Las Brisas",12853
"Turingia",12854
