"",10001
"S.C. Paris Gaitan",10363
"San",10364
"Urb. El Tabor",10365
"San Francisco Parte Alta II",10366
"Iberia Portoalegre",10367
"S.C. Batan",10368
"Urb. Altamar",10369
"Conjunto Residencial Tayazal",10370
"S.C. Prado Veraniego Norte",10371
"Bosques de Medina",10372
"Rocío Oriental",10373
"S.C. Barrancas",10374
"El Guavio",10375
"La Reserva del Palmar",10376
"Vista_Hermosa",10377
"S.C. El Bagazal",10378
"Altos de Montecarlo",10379
"Berice",10380
"Torca - La Suiza A (Predio)",10381
"Pontetresa (Predio)",10382
"Brasil Sector Acacias",10383
"El Refugio de la Colina II",10384
"Colpatria Santa Helena",10385
"S.C. Vereda Suba Naranjos",10386
"Bellavista",10387
"Urb. Floresta Norte II Sector",10388
"Vista Bella",10389
"El Porvenir",10390
"Los Cerezos San Joaquín",10391
"Fontanar del Río 2",10392
"Campiña del Restrepo",10393
"Nueva España Parte Alta",10394
"Santander_",10395
"El_Mortiño",10396
"Marco Fidel Suárez Sector La Cañada",10397
"Nuestra Señora de la Paz San Javier",10398
"El_Otoño",10399
"Mirador de la Campiña II Sector",10400
"Rincón de la Campiña",10401
"Restrepo - Urb. Alfonso López Pumarejo",10402
"La Fraguita",10403
"Sevilla",10404
"San_Antonio",10405
"El Balcón de la Castaña",10406
"5 de Noviembre",10407
"Villas del Mediterráneo",10408
"El Jordán II",10409
"S.C. San José de Fontibón",10410
"Bosque El Retiro",10411
"San Fason",10412
"S.C. Chico Norte III Sector",10413
"S.C. Quinta Camacho",10414
"Chico Norte - Urb. Conjunto de la Cien",10415
"La Esperanza_",10416
"Parques de Primavera",10417
"S.C. La Riviera",10418
"El Mirador 2",10419
"Santa Sofía de Vitelma",10420
"Conjunto Hotelero Los Rosales",10421
"San Pablo_",10422
"San Fernando Occidental - Urb. Av. Chile",10423
"S.C. Moralba",10424
"Los Ángeles 2",10425
"San Jacinto",10426
"San José Engativa",10427
"El Mirador",10428
"La Marcela",10429
"San José V Sector",10430
"Aguas Claras",10431
"Puerta de Teja - El Triángulo",10432
"Villa de los Alpes II Sector",10433
"Villa Anita Sur Oriental",10434
"Quindío II Sector",10435
"Urb. La Fortaleza",10436
"Engativa - La Verbena Villa Viviana",10437
"Patio Bonito",10438
"Nueva Zelanda",10439
"Zamudio",10440
"La Portada_",10441
"Los Girasoles",10442
"Florencia II Sector",10443
"Siberia - Bosque Calderón Tejada",10444
"Escuela_de Artillería",10445
"Las Brisas",10446
"Pablo VI Etapa I",10447
"Santa Librada Engativa Centro",10448
"Sumapaz",10449
"Villa Gladys",10450
"Canadá San Luís",10451
"San Isidro II_Sector",10452
"Chico Alto",10453
"S.C. San Bernardino XXV",10454
"S.C. El Retiro",10455
"S.C. Maria Cristina",10456
"La Alhambra Sector Sur",10457
"Las Margaritas Sector I y II",10458
"SC. Bosa Brasil",10459
"Villa Colombia",10460
"El Cauce",10461
"La Esmeralda",10462
"Mazuren",10463
"S.C. Los Sauces",10464
"Los Sauces Sector Cedros",10465
"Villa Clemencia",10466
"Urb. Clarelandia del Sur",10467
"S.C. Villa Anny I y II",10468
"San José E",10469
"Kasay de los Venados 1",10470
"Villas de Vizcaya",10471
"Condominios del Recreo",10472
"San José del Prado - Urb. Echeverría",10473
"Urb. El Totumo",10474
"Urb. Maitama Costa Azul",10475
"Cerros del Jura",10476
"Casablanca Sector El Pinar",10477
"San Pedro I Sector",10478
"Altos del Rincón",10479
"Villa Elisa - Urb. Villa Estella",10480
"Multifamiliar Neptuno II",10481
"Niza Norte - Ocales de Niza",10482
"Niza Norte - Urb. Calatrava",10483
"Urb. Maitrella",10484
"Urb. Costabelda",10485
"Diana Turbay Arrayanes",10486
"San José (Parcelación)",10487
"La Gaitana",10488
"Londres (Lombardia III)",10489
"San Pedro II Sector",10490
"Tejares del Norte",10491
"La Maria (Predio)",10492
"S.C Britalia",10493
"Ginebra",10494
"El Palmar IV",10495
"El Triángulo",10496
"Bello Horizonte II Sector",10497
"Ciudad Salitre - Urb. Industrial Los Cambulos",10498
"Brisas del Galán",10499
"S.C. Villa Gladys",10500
"Avenida Cundinamarca",10501
"Villa Claudia II",10502
"Las Dos Avenidas II Etapa",10503
"S.C. Cerros de Oriente",10504
"Urb. Multifamiliar las Brisas",10505
"Urb. Nogales de la Colina",10506
"Escuela de_Artillería",10507
"Rincón de San Andrés",10508
"San_Dionisio",10509
"El Arrayán",10510
"La Isabela II Etapa",10511
"S.C. La Faena",10512
"Los Cerezos Sector La Esperanza",10513
"Gran Granada",10514
"San Jerónimo del Yuste",10515
"Recreo de Los Angeles 1 y 2",10516
"Villas de Granada",10517
"Internacional",10518
"El Dorado 2",10519
"S.C. El Tintal II",10520
"Villa Dolly",10521
"La Laguna Fontibón",10522
"Prado Veraniego Norte - Urb. Nuevo Horizonte",10523
"El Portal I y II Sector",10524
"Cementerio Jardines Apogeo",10525
"Rincón de Boyacá",10526
"Salitre II Sector",10527
"Camino Verde Etapa I",10528
"S C. Tuna Alta",10529
"Urb. San Juanito",10530
"Diana Carolina",10531
"Villa Nataly 20 de Julio",10532
"Marandu - San Jacinto",10533
"Álamos Norte",10534
"Primero de Mayo",10535
"S.C Ciudad Londres I",10536
"Urb. Primero de Mayo",10537
"Atenas",10538
"Urb. Las Gaviotas",10539
"Bosque de San José",10540
"Parque Nacional Oriental",10541
"Urb. Los Tilos",10542
"Urb. La Cofradía",10543
"El Bogotano II",10544
"Serranías de Suba",10545
"Los Ángeles - Portal de Santa Inés (Proyecto Urb.)",10546
"Bochica II",10547
"Urb. Miradores de Suba y Urisa",10548
"S.C. El Dorado",10549
"Palermo Sur Santa Fonseca",10550
"Urb. Los Nogales de Suba",10551
"Los_Puentes",10552
"Tunal Sector II",10553
"Santa Maria I y II Sector",10554
"S.C. Santa Inés Sur",10555
"Urb. Cerro San Vicente",10556
"Buenavista Suroriental",10557
"La Castellana Occidental",10558
"Nuevas Malvinas El Triunfo",10559
"Marco Fidel Suárez",10560
"La Granja II",10561
"Usaquén - Urb. Portal de Siena",10562
"Villa Javier",10563
"Ciudadela Colsubsidio",10564
"El Alto de las Brisas",10565
"Cedro Madeira",10566
"Las_Margaritas",10567
"Santa Bárbara Central II Sector",10568
"Urb. Prado Grande",10569
"Terminal de Transportes",10570
"Diana Turbay S.C. San Agustín",10571
"Ciudadela Maria Micaela",10572
"El Arpa y La Lira",10573
"Urb. Moore La Colina",10574
"Pueblo Nuevo",10575
"Kalatea",10576
"La Aurora Salitre Suba",10577
"San Fernando Occidental",10578
"Mirador de Barroco",10579
"Iberia",10580
"Almendros de Suba",10581
"Sabana Grande",10582
"Granjas de Namur",10583
"San José de Fontibón",10584
"Alamedas de Timiza II",10585
"La Ponderosa",10586
"La Guaca IV Sector",10587
"Tejar",10588
"Mirador II",10589
"Callejón de Santa Bárbara Suroriental",10590
"El Jazmín I Sector",10591
"San Juan Bosco",10592
"La Orquídea III Sector",10593
"Urb. San Lorenzo",10594
"Sotileza",10595
"La Granja",10596
"S.C. Libertador",10597
"Palo Blanco",10598
"Agrupación El Rincón",10599
"Granada Norte",10600
"Urb. Gavilanes",10601
"Rincón Escuela",10602
"Sindamanoy",10603
"Nueva Tibabuyes",10604
"San Rafael Norte",10605
"Prado Pinzon",10606
"Alaska",10607
"Villa del Prado",10608
"Santa Rosa de Guaymaral",10609
"Los Balcanes Vitelma",10610
"Urb. Entre Ríos",10611
"Juan Rey",10612
"Bosque de los Andes",10613
"La Patricia (Urb. Industrial)",10614
"S.C. El Triángulo",10615
"Torca",10616
"Santa Lucia",10617
"S.C. Julio Florez",10618
"Rincón de Suba",10619
"Los Mortiños (Predio)",10620
"Nuestra Señora de la Paz",10621
"Antonio Nariño",10622
"La Cabaña (S.C. La Faena)",10623
"Las Colinas-Sector Divino Niño",10624
"San Jorge Central II Sector",10625
"El Pino",10626
"Martinica",10627
"El Rincón de Bosa",10628
"Mitrani",10629
"Las Flores I (Finca)",10630
"Carlos Alban Sector Israelita",10631
"San Antonio",10632
"Andalucía__",10633
"La Independencia II Sector",10634
"Los Sauces",10635
"Villa Delia Britalia Norte",10636
"Sauces de Suba",10637
"La Floresta de Suba",10638
"Los Robles",10639
"Verona",10640
"Urb. Barandillas de Suba",10641
"Las Mercedes Tuna Alta",10642
"Urb. Carimagua I",10643
"El Triángulo El Manantial",10644
"Santa Bárbara Occidental",10645
"Santa Bárbara Oriental",10646
"San Carlos Norte",10647
"La Libertad",10648
"S.C. Siberia",10649
"Chico Reservado II Sector",10650
"Portal Privaver II",10651
"El Dorado Industrial - Santa Isabel (Hacienda)",10652
"Los Andes - Vizcaya II Sector",10653
"La Castellana - Urb. Paseo de la Castellana",10654
"Urb. El Cerro de Tuna Alta",10655
"Miraflores_",10656
"Las Galias",10657
"San Vicente Ferrer",10658
"El Carmen_",10659
"Quirigua Sector F",10660
"Urb. El Jardín",10661
"S.C. Sucre",10662
"La Faena",10663
"La Riviera",10664
"Los Cerros",10665
"Florencia 2",10666
"Centro Administrativo Occidental - CAN",10667
"Altos de Bellavista",10668
"Cerros del Castillo",10669
"Urb. El Lago del Paraíso",10670
"Ingemar - El Triángulo",10671
"Puente Grande Florencia",10672
"S.C. Santa Lucia",10673
"Aures II - Santa Bárbara",10674
"Villa Flor",10675
"Villa Liliana",10676
"Centro Industrial de Construcción",10677
"Belalcazar",10678
"Urb. Bosques del Sur",10679
"S.C. La Fiscala Norte",10680
"La Florida Occidental",10681
"Villa Del Mar - Urb. Tierragrata",10682
"Marandu - Urb. Fiorita",10683
"Centro Engativa II - Urb. Ebenezer",10684
"Sabanas del Dorado I",10685
"La Sierra",10686
"Urb. Nueva Roma Oriental Dardanelos",10687
"San Isidro II Sector",10688
"San Isidro",10689
"S.C. Páramo",10690
"Modelia Occidental",10691
"Rincón de Modelia",10692
"Urb. Avenida Centenario",10693
"Tibabuyes II",10694
"Costa Rica",10695
"Nuevo Monterrey",10696
"Casa Blanca II",10697
"Villa Gloria I",10698
"Potosí Sector I",10699
"Urb. El Rincón de Provenza",10700
"S.C El Pino",10701
"Urb. Carimagua II",10702
"Julio Florez - Urb. Ocasa",10703
"Urb. Pontevedra Sector I",10704
"Urb. Atenas",10705
"S.C. Barrancas Oriental",10706
"La Emilia",10707
"Castilla",10708
"Nueva Esperanza",10709
"Villa Elvira",10710
"Villa Anita",10711
"Miraflores Kennedy",10712
"Urb. Kennedy Supermanzana 2",10713
"Ciudad Kennedy Norte Urb. Francisco José De Caldas",10714
"Las Americas_",10715
"Altos de Ipanema",10716
"Sabana de Tierra Buena III",10717
"Palermo Sur Las Brisas",10718
"La Soledad Norte",10719
"Los Cedritos",10720
"San Antonio Noroccidental",10721
"Urb. San Diego",10722
"San José Occidental",10723
"Altamar",10724
"Ciudad del Bosco",10725
"S.C. Villa Nelly III Sector",10726
"Naranjos Altos Ciudad Hunza",10727
"El Vergel",10728
"Los Pinos de Marsella",10729
"Senderos de Castilla",10730
"El Olivo",10731
"Boita I Sector",10732
"Tocarema",10733
"Las_Palmeras",10734
"Nueva York II",10735
"Morabia II",10736
"Pastranita II Sector",10737
"Arbolete",10738
"S.C. La Magdalena - San Luís",10739
"Ciudad Kennedy Oriental Supermanzana 16",10740
"Ciudad Kennedy Supermanzana 7",10741
"Banderas",10742
"Onasis",10743
"Bosques de Castilla",10744
"S.C. Delicias",10745
"El Progreso II Sector",10746
"La Igualdad La Rivera Real",10747
"Villa Claudia",10748
"Ciudad Techo II",10749
"Sabanas de Tierra Buena I",10750
"Acuarela II",10751
"S.C Gualoche",10752
"Villa Karen",10753
"Santa_Marta",10754
"Niza Suba - Villavaduz",10755
"San Felipe Ciudad Jardín Norte",10756
"San Pedro II",10757
"Bosalinda Hidelbrando Olarte",10758
