ESTADOS,CASOS
EL TUNO,10340
SIERRA MORENA,10341
DANUBIO II,10342
GARCES NAVAS SUR,10343
VERAGUAS,10344
PARCELA EL PORVENIR,10345
EL UVAL,10346
SAN LUIS ALTOS DEL CABO RURAL,10347
PARQUE EL TUNAL,10348
VILLA MAYOR,10349
SANTIAGO PEREZ,10350
ALCAZARES NORTE,10351
LA MERCED NORTE,10352
EL CHANCO II,10353
METROPOLIS,10354
RENANIA URAPANES,10355
LOS CEDROS,10356
LA FLORIDA OCCIDENTAL,10357
EL CARMELO,10358
ALFONSO LOPEZ,10359
RAFAEL ESCAMILLA,10360
PASTRANA,10361
CAOBOS SALAZAR,10362
VILLA ISRAEL,10363
VILLA AMALIA,10364
QUIRIGUA ORIENTAL,10365
OSPINA PEREZ,10366
SAN PEDRO,10367
LAGO DE SUBA,10368
PUERTA DE TEJA,10369
ENTRERIOS,10370
CIUDAD KENNEDY,10371
PORTAL RURAL II,10372
TOCAIMITA ORIENTAL I,10373
LAGUNITAS,10374
INGEMAR,10375
SAN JOSE V SECTOR,10376
JOSE MARIA CARBONEL,10377
CERRO COLORADO,10378
QUINDIO,10379
PARIS GAITAN,10380
SANTA HELENITA,10381
LOS ALAMOS,10382
SANTA CECILIA,10383
ENGATIVA ZONA URBANA,10384
EL TINTAL III,10385
LAS FLORES,10386
GILMAR,10387
SAN PEDRO,10388
TIBABUYES UNIVERSAL,10389
VISION DE ORIENTE,10390
BOSQUE IZQUIERDO,10391
QUINTA MUTIS,10392
EL MOCHUELO II NORTE,10393
VEREDA EL TINTAL RURAL,10394
ALQUERIA,10395
ABRAHAM LINCOLN,10396
CHAPINERITO,10397
MIRANDELA,10398
VEREDA EL TINTAL URBANO,10399
PROVIVIENDA OCCIDENTAL,10400
PUERTO RICO,10401
OSORIO II,10402
PATIO BONITO II,10403
FISCALA ALTA,10404
LA ESTACION BOSA,10405
CATALINA,10406
SANTA BARBARA CENTRAL,10407
ESCOCIA,10408
POTOSI,10409
VILLA DEL MAR,10410
ESCOCIA,10411
VILLA DEL RIO,10412
LOS ROSALES,10413
