code,localidad
2878,Puente Aranda
2884,Rafael Uribe
2889,Puente Aranda
2892,Engativá
2922,Engativá
2928,Engativá
2932,Engativá
2938,San Cristóbal
2940,San Cristóbal
2951,None
2954,Chapinero
2955,Chapinero
2992,Fontibón
2993,Fontibón
2998,Fontibón
2318,None
2325,None
2330,None
2332,None
2338,None
2347,None
2355,None
2375,None
2394,None
2400,None
2411,None
2420,None
2434,Usaquén
2470,Usaquén
1175,Kennedy
1177,Kennedy
1178,Kennedy
1183,Kennedy
1208,Kennedy
1230,Kennedy
1248,Kennedy
1265,Kennedy
1289,Kennedy
1307,Kennedy
933,Rafael Uribe
935,Engativá
942,Usaquén
946,Usaquén
953,None
959,Kennedy
976,Kennedy
1004,Kennedy
1028,Kennedy
1038,None
1041,Kennedy
1045,Kennedy
1066,Kennedy
1071,Kennedy
1090,Kennedy
1098,Kennedy
1101,Kennedy
1107,Kennedy
1109,Kennedy
1124,Kennedy
1126,Kennedy
1134,Kennedy
1156,Kennedy
1160,Kennedy
1164,Kennedy
1167,Kennedy
1172,Kennedy
1184,Kennedy
1185,Kennedy
1255,Kennedy
1269,Kennedy
1280,Kennedy
1308,Kennedy
1721,Bosa
1722,Bosa
1825,Bosa
1837,Bosa
1847,None
1848,None
1855,Bosa
1858,Bosa
1861,None
1862,None
1883,Fontibón
1886,Bosa
1887,Bosa
1894,Bosa
1908,None
1922,Bosa
1933,Bosa
1934,Bosa
1937,Bosa
1941,Bosa
1944,None
1960,None
1985,None
1987,None
1992,None
2001,None
2004,None
2007,None
2026,None
2037,None
2052,None
2054,None
2058,None
2059,None
2081,None
2083,None
2103,None
2112,None
2118,None
2125,None
2127,None
2140,None
2145,None
2150,None
2152,None
2164,Usaquén
2165,None
2166,None
2193,None
2194,None
2200,None
2203,None
2212,None
12,Chapinero
13,Usaquén
15,Teusaquillo
29,Fontibón
2236,None
2239,None
2242,None
2246,None
2254,None
2256,None
2262,None
2264,None
2273,None
2287,None
2288,None
36,Kennedy
81,Engativá
86,None
93,Tunjuelito
97,San Cristóbal
112,Rafael Uribe
113,Rafael Uribe
117,Usaquén
142,Fontibón
3001,Fontibón
3005,Rafael Uribe
3040,Los Mártires
3050,Puente Aranda
3071,San Cristóbal
3073,San Cristóbal
3126,Engativá
3131,None
3197,Fontibón
3204,Usaquén
3215,San Cristóbal
3217,San Cristóbal
3218,San Cristóbal
3226,Puente Aranda
3232,Fontibón
3240,Fontibón
3245,Chapinero
3263,Santa Fe
3265,Santa Fe
3269,Santa Fe
3271,Santa Fe
3274,Santa Fe
3278,None
3287,Engativá
3289,Candelaria
3316,Engativá
3320,San Cristóbal
3358,Tunjuelito
3364,None
3389,Tunjuelito
3396,Engativá
3422,Rafael Uribe
3430,None
3434,Puente Aranda
3470,Engativá
3475,Engativá
3483,None
3484,None
3491,Engativá
3501,Rafael Uribe
3511,Rafael Uribe
3522,Engativá
3566,None
3568,None
3583,None
3589,None
3594,None
3598,None
3600,None
3618,San Cristóbal
3623,Fontibón
3625,San Cristóbal
3647,San Cristóbal
3650,Santa Fe
3674,Usaquén
3697,Usaquén
3718,Bosa
3732,Bosa
3737,None
3754,None
3761,None
3788,Engativá
3792,San Cristóbal
3793,Rafael Uribe
3797,Engativá
3799,Usaquén
3820,Bosa
3870,Bosa
1560,None
1574,Bosa
1575,Engativá
1577,Bosa
1614,Bosa
1620,Bosa
1627,Bosa
1638,Bosa
1654,Bosa
1660,Bosa
1672,Bosa
1680,Bosa
1694,Bosa
1704,Bosa
2312,None
2327,None
2342,None
2360,None
2366,None
2379,None
2381,None
2383,None
2385,None
2396,None
2398,None
2412,None
2413,None
2417,None
2430,Usaquén
2445,Usaquén
2449,Usaquén
2452,Usaquén
2460,Usaquén
2462,Usaquén
2463,Usaquén
2478,Usaquén
2498,Barrios Unidos
2520,Usaquén
2536,Barrios Unidos
2541,Engativá
2557,Fontibón
2569,Engativá
2579,San Cristóbal
2590,San Cristóbal
2594,San Cristóbal
2601,San Cristóbal
2604,Fontibón
2606,Fontibón
2610,Barrios Unidos
2616,San Cristóbal
2623,None
2629,San Cristóbal
2631,None
2642,Engativá
2648,Engativá
2676,Chapinero
2740,None
2788,Engativá
2808,Chapinero
2815,None
2858,Fontibón
2866,Teusaquillo
2905,Engativá
2918,Engativá
2929,Engativá
2939,San Cristóbal
2948,Chapinero
2965,Chapinero
2966,Chapinero
1726,Bosa
1746,None
1798,Bosa
1818,Bosa
1838,Bosa
1842,Bosa
1854,Bosa
1889,Bosa
1936,Bosa
1959,None
1961,None
2008,None
2047,None
2048,None
2071,None
2097,None
2098,Usaquén
2102,None
2144,None
2215,None
11,Usaquén
26,Engativá
28,Usaquén
2225,None
2229,None
2241,None
2252,None
2253,None
2271,None
33,Santa Fe
38,Usaquén
72,Chapinero
83,Kennedy
94,Engativá
114,Kennedy
126,Puente Aranda
135,Santa Fe
137,None
141,Santa Fe
166,San Cristóbal
177,Fontibón
192,Engativá
199,Rafael Uribe
201,Usaquén
217,None
222,Rafael Uribe
229,Kennedy
234,Fontibón
235,None
284,Bosa
287,None
292,San Cristóbal
296,None
297,None
306,San Cristóbal
319,None
332,Engativá
938,San Cristóbal
948,Puente Aranda
949,Usaquén
952,None
963,Kennedy
980,Kennedy
982,Kennedy
995,Rafael Uribe
996,Kennedy
999,Kennedy
1001,Kennedy
1027,Kennedy
1032,Kennedy
1049,Kennedy
1058,Kennedy
1061,Kennedy
1077,Kennedy
1087,Kennedy
1100,Kennedy
1106,Kennedy
1112,Kennedy
1149,Kennedy
1150,Fontibón
1157,Kennedy
1158,Kennedy
1199,Kennedy
1210,Kennedy
1214,None
1249,Kennedy
1256,Kennedy
1257,Bosa
1284,Kennedy
1294,Kennedy
1295,Kennedy
1296,Kennedy
1351,None
1410,Bosa
1423,Bosa
449,San Cristóbal
490,San Cristóbal
622,Fontibón
623,Fontibón
631,None
642,Usaquén
654,Usaquén
656,Usaquén
663,Usaquén
671,Rafael Uribe
716,San Cristóbal
734,San Cristóbal
736,Santa Fe
739,Santa Fe
748,Rafael Uribe
759,Rafael Uribe
775,Barrios Unidos
776,Barrios Unidos
781,Teusaquillo
782,Teusaquillo
803,Usaquén
815,Usaquén
824,Usaquén
841,Usaquén
848,None
850,Usaquén
856,Barrios Unidos
893,Puente Aranda
902,Rafael Uribe
906,Rafael Uribe
